region,model,MAE,RMSE,MAPE
NR,ARIMA,17.68692602134878,29.484437472425057,3.256622030333723
NR,Prophet,37.687123833868846,41.6772270750448,6.509001897802228
NR,LSTM,18.399506881506262,30.62643890651956,3.387422075672944
SR,ARIMA,22.625202698877377,35.401911551404396,3.8647726995120304
SR,Prophet,123.8000879583494,132.83397178872596,20.04378332682068
SR,LSTM,23.59417263253469,40.09370522445797,4.089673414385262
ER,ARIMA,5.786357108842634,8.97742136808704,0.6225796782756507
ER,Prophet,34.01853217689327,40.73432810846857,3.6770383618064373
ER,LSTM,8.644131125577635,11.797356304571588,0.9319302186982327
WR,ARIMA,7.706595376854894,16.439819653102614,1.0873027200879202
WR,Prophet,25.09900815639585,27.978206757136263,3.4555108076176366
WR,LSTM,7.741308250633466,16.197597115675784,1.0877137766109815
NER,ARIMA,13.04892724436421,21.682628412328306,5.080624109021246
NER,Prophet,140.64065513928742,143.85769161186684,50.33509900706401
NER,LSTM,13.900737611895778,22.323531070945265,5.388273588716061
